,district_number,district_name,school_number,school_name,school_type,address,city,state,zip,nces_school_number,status,updated_district_number
182,190,DAVIDSON COUNTY,8015,Aventura Community School,Public Charter,3010 Tuggle AVE,Nashville,TN,37211,,A,190
401,190,DAVIDSON COUNTY,8014,Boy's Prep,Public Charter,730 Neely's Bend RD,Madison,TN,37115,470318000000.0,I,190
431,985,ACHIEVEMENT SCHOOL DISTRICT,8005,Brick Church: A LEAD Public School,Public Charter,2835 Brick Church PIKE,Nashville,TN,37207,470015000000.0,A,190
1181,190,DAVIDSON COUNTY,8007,Drexel Prep,Public Charter,4479 Jackson RD,Whites Creek,TN,37189,470318000000.0,I,190
1273,190,DAVIDSON COUNTY,8009,East End Preparatory School,Public Charter,1460 McGavock PIKE,Nashville,TN,37216,470318000000.0,A,190
1388,190,DAVIDSON COUNTY,8060,Explore Community School,Public Charter,707 S 7th ST,Nashville,TN,37206,470318000000.0,A,190
2430,190,DAVIDSON COUNTY,8048,Intrepid College Preparatory Charter School,Public Charter,5432 Bell Forge Lane East ,Antioch,TN,37013,470318000000.0,A,190
2566,190,DAVIDSON COUNTY,8105,KA @ The Crossings,Public Charter,5320 Hickory Hollow PKWY,Antioch,TN,37013,470318000000.0,A,190
2631,190,DAVIDSON COUNTY,8002,KIPP Academy Nashville,Public Charter,123 Douglas AVE,Nashville,TN,37207,470318000000.0,A,190
2632,190,DAVIDSON COUNTY,8095,KIPP Academy Nashville Elementary School,Public Charter,1000 Sevier ST,Nashville,TN,37206,470318000000.0,A,190
2633,987,TENNESSEE PUBLIC CHARTER SCHOOL COMMISSION,8015,KIPP Antioch College Prep Elementary,Public Charter,3655 Murfreesboro Pike ,Antioch,TN,37013,470016000000.0,A,190
2634,986,TENNESSEE STATE BOARD OF EDUCATION,8015,KIPP Antioch College Prep Elementary,Public Charter,3655 Murfreesboro PIKE,Antioch,TN,37013,470016000000.0,I,190
