Region, District No, District, School No, NCES School Number, School, Email, Title, Status, School Type, Address, Address2, Address3, Address4, City, State, Zipcode, Zip+4, Phone1, Phone2, Fax, Grade Levels, Categories
EAST TENNESSEE CORE REGIONAL OFFICE,52,MARYVILLE,22,,Maryville Virtual School,amy.vagnier@maryville-schools.org,Principal: Amy Vagnier,A,Public Virtual School,833 Lawrence AVE,,,,Maryville,TN,37803,,(865) 982-7121,,(865) 977-5055,"K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,19,4.70E+11,Gatlinburg Pittman Junior High,ajbennett@sevier.org,Principal: A.J. Bennett,A,Public,150 Proffitt RD,,,,Gatlinburg,TN,37738,,,,,"7,8,9",
EAST TENNESSEE CORE REGIONAL OFFICE,70,CAMPBELL COUNTY,4,4.70E+11,North Cumberland Online School,jason.horne@ccpstn.net,Principal: Jason B. Horne,A,Public Virtual School,127 Valley St. ,,,,Jacksboro,TN,37757,,(423) 562-8377,,(423) 566-7562,"6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,870,UNION COUNTY,72,,Tennessee Virtual Junior High School,Tonya.Childress@ucps.org,Principal: Tonya Childress,A,Public Virtual School,1924 Dutch Valley DR,,,,Knoxville,TN,37918,,(865) 992-9026,,(865) 745-0257,"7,8,9",
EAST TENNESSEE CORE REGIONAL OFFICE,50,BLOUNT COUNTY,90,4.70E+11,Mary Blount Elementary,Ryan.Ferrell@blountk12.org,Principal: Ryan Ferrell,A,Public,131 South Old Glory RD,,,,Maryville,TN,37801,,(865) 980-1430,,(865) 980-1428,"PK,K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,50,BLOUNT COUNTY,43,4.70E+11,Eagleton Elementary,buffy.wyrosdick@blountk12.org,Principal: Buffy Wyrosdick,A,Public,708 Sam Houston School RD,,,,Maryville,TN,37804,5631,(865) 980-1455,,(865) 980-1451,"PK,K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,13,4.70E+11,Central Middle School,davisl@mcsed.net ,Principal: Larry Davis,A,Public,146 Liberty RD,,,,Wartburg,TN,37887,,(423) 346-2800,,(423) 346-2805,"6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,48,4.70E+11,Midway Middle School,acawood@roaneschools.com,Principal: Amy Cawood,A,Public,104 Dogtown RD,,,,Ten Mile,TN,37880,,(865) 717-5464,,(865) 376-0948,"6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,130,CLAIBORNE COUNTY,93,4.70E+11,Cumberland Gap High School,david.hamilton@claibornecsd.org,Principal: David C. Hamilton,A,Public,661 Old Jackboro PIKE,,,,Cumberland Gap,TN,37724,,(423) 869-9964,,(423) 869-4352,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,130,CLAIBORNE COUNTY,110,4.70E+11,Claiborne High School,Meredith.Arnold@claibornecsd.org,Principal: Meredith Arnold,A,Public,815 Davis DR,,,,New Tazewell,TN,37825,,(423) 626-3532,,(423) 626-3555,"9,10,11,12",
